x1,y1,x2,y2,confidence,tile_id
2955.7173665364585,2200.8316040039062,3496.2325032552085,2777.6748657226562,0.6899094,0
2482.6070149739585,205.01558780670166,2925.6555175781255,681.0644149780273,0.6765942,0
692.5004069010416,780.4931163787842,1472.975056966146,1422.4536895751953,0.6696777,0
2972.8706868489585,888.7502670288086,3456.5555826822915,1395.067024230957,0.6597819,0
1980.1629638671877,184.4869613647461,2459.7776285807295,695.613956451416,0.63284236,0
3520.1098632812505,241.96338653564453,3963.0525716145835,716.6495323181152,0.6315255,0
1499.0935262044272,2882.5511932373047,1964.1072591145835,3414.443588256836,0.62366754,0
2981.9380696614585,260.00349521636963,3415.7271321614585,705.8744430541992,0.6185657,0
2412.8914388020835,2880.253219604492,2965.4862467447915,3463.350296020508,0.6134389,0
2475.072428385417,922.7823257446289,2952.744140625,1401.1938095092773,0.6119301,0
1479.64111328125,1526.52587890625,1972.2456868489585,2072.2023010253906,0.6087604,0
1576.755574544271,3564.734649658203,2011.6851806640625,3994.678497314453,0.6045027,0
1497.6445515950522,899.0810394287109,1949.4868977864585,1372.5000381469727,0.60057926,0
1977.2810872395837,894.3437576293945,2452.3242187500005,1394.1408157348633,0.59709615,0
2444.906616210938,1524.8252868652344,2951.566365559896,2094.3946838378906,0.5927301,0
3481.8595377604165,891.4304733276367,3910.4353841145835,1397.886848449707,0.5855332,0
691.8164062500001,1478.3945083618164,1468.8205973307295,2125.741767883301,0.5696953,0
2473.902587890625,2270.8480834960938,2939.094645182292,2745.3521728515625,0.55550694,0
3496.4851888020835,1584.5691680908203,3939.1398111979165,2080.138397216797,0.5551507,0
2028.0383300781252,2925.416946411133,2454.7847493489585,3420.954132080078,0.5508498,0
3932.7937825520835,197.13804721832275,4266.666666666667,711.9991302490234,0.5435569,0
6.375681559244811,127.25081443786621,427.1506754557292,637.3541831970215,0.5412822,0
3509.2578125,2952.2842407226562,3938.307291666667,3412.4267578125,0.5327832,0
2973.0232747395835,3602.5390625,3434.3945312500005,3995.751953125,0.528972,0
2508.4617106119795,3610.6414794921875,2952.6035563151045,3998.9364624023438,0.5267999,0
3502.32666015625,1077.7832984924316,3858.495279947917,1391.110897064209,0.5142376,0
614.4979858398438,2137.628936767578,1435.0627644856772,2793.2510375976562,0.49580815,0
1434.032185872396,2198.7289428710938,1993.7664794921875,2768.579864501953,0.48837537,0
2983.3622233072915,1589.2653465270996,3437.2273763020835,2055.047607421875,0.4867192,0
3993.9396158854174,3574.2050170898438,4265.451660156251,4000.0,0.47654855,0
740.1047261555989,3534.5535278320312,1441.7100016276042,3996.5850830078125,0.47038242,0
1958.3135986328127,1584.3366622924805,2442.0273844401045,2082.6364517211914,0.46297348,0
750.413818359375,2837.2264862060547,1486.38427734375,3431.2881469726562,0.45419547,0
3509.469401041667,2276.8787384033203,3951.5380859375,2754.9381256103516,0.44788796,0
3970.6746419270835,931.1367034912109,4266.666666666667,1414.5452499389648,0.44131786,0
2030.2392578125002,3543.1846618652344,2484.899088541667,3989.2860412597656,0.44044068,0
3915.328776041667,2256.95858001709,4266.666666666667,2792.521095275879,0.43984583,0
3469.401041666667,3604.3983459472656,3931.778971354167,3995.6825256347656,0.4391784,0
4004.0197753906255,1586.946678161621,4266.666666666667,2121.320152282715,0.42974696,0
3015.127360026042,2915.4991149902344,3449.481201171875,3422.686004638672,0.42863855,0
3962.012125651042,3007.101821899414,4266.666666666667,3437.862777709961,0.42858717,0
4007.431640625,3679.669189453125,4261.09375,3998.357391357422,0.40876937,0
3.3788299560546875,1575.1240730285645,321.05674743652344,2035.3641510009766,0.4071841,0
1411.9830322265625,168.65344047546387,1960.056355794271,695.3951358795166,0.39794338,0
3913.7776692708335,2867.3694610595703,4266.666666666667,3445.7794189453125,0.37640902,0
3959.353434244792,2329.1324615478516,4266.666666666667,2753.5621643066406,0.36509514,0
976.7112223307292,195.37582397460938,1477.1478271484377,704.5827865600586,0.33522707,0
1016.2801106770833,80.24511337280273,1988.1681315104167,737.9653930664062,0.30495033,0
2991.1033121744795,366.4973735809326,3401.1826578776045,695.8480358123779,0.30463284,0
3562.3567708333335,1127.8818130493164,3853.1656901041665,1384.1894149780273,0.28674752,0
2368.4859212239585,3521.3775634765625,2965.0126139322915,3995.0164794921875,0.26127324,0
4242.077501296997,254.56199645996094,4415.180278778076,705.8572769165039,0.61497843,1
4240.818881988525,975.9368896484375,4395.650730133057,1370.0092315673828,0.60268474,1
4242.134716033936,3593.090057373047,4435.3012771606445,3996.856689453125,0.5955786,1
4496.790565490723,146.62096500396729,4907.658592224121,776.8083572387695,0.5919148,1
5784.272369384766,315.34414291381836,5938.74267578125,649.2679595947266,0.52593935,1
4242.720836639404,2292.189598083496,4403.281543731689,2737.617301940918,0.51214296,1
4240.0,903.8003921508789,4414.12944316864,1404.5976638793945,0.4478902,1
4241.120754241944,2960.564422607422,4387.674236297608,3420.1515197753906,0.42701557,1
4445.969779968262,2795.2369689941406,4906.346115112305,3582.340621948242,0.4184458,1
4965.717681884766,1527.3651123046875,5382.3121337890625,2154.67529296875,0.38977355,1
4954.225051879883,3523.683547973633,5358.904403686523,4000.0,0.38330308,1
5917.96728515625,1632.8205108642578,6000.0,1937.4507904052734,0.38329348,1
4973.919509887695,945.8652496337891,5187.711868286133,1407.839012145996,0.3649638,1
4245.979831695557,1626.7204284667969,4414.956811904907,2049.3316650390625,0.36329576,1
4966.243125915527,2827.0713806152344,5394.4089279174805,3555.1368713378906,0.36166215,1
5008.627517700195,135.79049110412598,5411.630920410156,775.830602645874,0.34402195,1
5153.3477783203125,931.4765930175781,5429.709014892578,1428.3084869384766,0.32736275,1
5456.82666015625,2885.847282409668,5875.771301269531,3565.5410766601562,0.32422668,1
4247.03617477417,372.9931831359863,4403.3481159210205,680.0164222717285,0.32238606,1
5912.267883300781,1552.7381896972656,6000.0,1998.9139556884766,0.32022753,1
4740.555725097656,1689.6961212158203,4901.806282043457,2092.811965942383,0.3183092,1
5479.717254638672,1531.3305854797363,5919.807556152344,2212.479019165039,0.31525472,1
4436.376293182373,3503.4866333007812,4885.319248199463,4000.0,0.3141049,1
4507.827491760254,2132.9410552978516,4914.693298339844,2831.494903564453,0.30999136,1
5504.058799743652,843.1676864624023,5915.012512207031,1469.9094772338867,0.2975109,1
4967.322463989259,784.5579147338867,5450.168014526368,1494.553565979004,0.2939637,1
5911.442413330079,2300.7747650146484,5998.698516845704,2645.914077758789,0.2900949,1
4750.126007080078,1778.6853790283203,4896.536315917969,2088.7046813964844,0.28179356,1
5411.4266510009775,3536.3739013671875,5850.5592193603525,4000.0,0.27874073,1
5473.559127807617,202.97837257385254,5831.302169799805,765.6759738922119,0.27047542,1
4452.34606552124,1484.2497825622559,4919.87300491333,2218.566131591797,0.2611261,1
