x,y,confidence,tile_id
3225.9749348958335,2489.2532348632812,0.6899094,0
2704.131266276042,443.0400013923645,0.6765942,0
1082.7377319335938,1101.4734029769897,0.6696777,0
3214.713134765625,1141.9086456298828,0.6597819,0
2219.9702962239585,440.05045890808105,0.63284236,0
3741.581217447917,479.3064594268799,0.6315255,0
1731.6003926595054,3148.4973907470703,0.62366754,0
3198.8326009114585,482.9389691352844,0.6185657,0
2689.1888427734375,3171.8017578125,0.6134389,0
2713.9082845052085,1161.9880676269531,0.6119301,0
1725.9434000651042,1799.3640899658203,0.6087604,0
1794.2203776041667,3779.706573486328,0.6045027,0
1723.5657246907554,1135.7905387878418,0.60057926,0
2214.802652994792,1144.242286682129,0.59709615,0
2698.236490885417,1809.6099853515625,0.5927301,0
3696.1474609375,1144.6586608886719,0.5855332,0
1080.3185017903647,1802.0681381225586,0.5696953,0
2706.4986165364585,2508.100128173828,0.55550694,0
3717.8125,1832.3537826538086,0.5551507,0
2241.411539713542,3173.1855392456055,0.5508498,0
4099.730224609375,454.5685887336731,0.5435569,0
216.763178507487,382.30249881744385,0.5412822,0
3723.7825520833335,3182.355499267578,0.5327832,0
3203.708902994792,3799.1455078125,0.528972,0
2730.532633463542,3804.7889709472656,0.5267999,0
3680.4109700520835,1234.4470977783203,0.5142376,0
1024.7803751627605,2465.439987182617,0.49580815,0
1713.8993326822917,2483.6544036865234,0.48837537,0
3210.2947998046875,1822.1564769744873,0.4867192,0
4129.695638020834,3787.102508544922,0.47654855,0
1090.9073638916016,3765.569305419922,0.47038242,0
2200.1704915364585,1833.486557006836,0.46297348,0
1118.3990478515625,3134.2573165893555,0.45419547,0
3730.5037434895835,2515.908432006836,0.44788796,0
4118.670654296875,1172.840976715088,0.44131786,0
2257.5691731770835,3766.2353515625,0.44044068,0
4090.997721354167,2524.7398376464844,0.43984583,0
3700.590006510417,3800.0404357910156,0.4391784,0
4135.343221028646,1854.133415222168,0.42974696,0
3232.3042805989585,3169.092559814453,0.42863855,0
4114.3393961588545,3222.4822998046875,0.42858717,0
4134.2626953125,3839.0132904052734,0.40876937,0
162.21778869628906,1805.2441120147705,0.4071841,0
1686.0196940104167,432.02428817749023,0.39794338,0
4090.22216796875,3156.5744400024414,0.37640902,0
4113.0100504557295,2541.347312927246,0.36509514,0
1226.9295247395835,449.979305267334,0.33522707,0
1502.22412109375,409.1052532196045,0.30495033,0
3196.142985026042,531.1727046966553,0.30463284,0
3707.76123046875,1256.0356140136719,0.28674752,0
2666.749267578125,3758.197021484375,0.26127324,0
4328.628890037537,480.2096366882324,0.61497843,1
4318.234806060791,1172.9730606079102,0.60268474,1
4338.71799659729,3794.973373413086,0.5955786,1
4702.224578857422,461.7146611213684,0.5919148,1
5861.507522583008,482.30605125427246,0.52593935,1
4323.001190185547,2514.903450012207,0.51214296,1
4327.06472158432,1154.1990280151367,0.4478902,1
4314.397495269776,3190.3579711914062,0.42701557,1
4676.157947540283,3188.7887954711914,0.4184458,1
5174.014907836914,1841.0202026367188,0.38977355,1
5156.564727783203,3761.8417739868164,0.38330308,1
5958.983642578125,1785.1356506347656,0.38329348,1
5080.815689086914,1176.8521308898926,0.3649638,1
4330.468321800232,1838.0260467529297,0.36329576,1
5180.326026916504,3191.1041259765625,0.36166215,1
5210.129219055176,455.810546875,0.34402195,1
5291.528396606445,1179.8925399780273,0.32736275,1
5666.298980712891,3225.694179534912,0.32422668,1
4325.192145347595,526.5048027038574,0.32238606,1
5956.133941650391,1775.826072692871,0.32022753,1
4821.181003570557,1891.2540435791016,0.3183092,1
5699.762405395508,1871.9048023223877,0.31525472,1
4660.847770690918,3751.7433166503906,0.3141049,1
4711.260395050049,2482.2179794311523,0.30999136,1
5709.535655975342,1156.5385818481445,0.2975109,1
5208.745239257813,1139.5557403564453,0.2939637,1
5955.0704650878915,2473.3444213867188,0.2900949,1
4823.331161499023,1933.6950302124023,0.28179356,1
5630.992935180665,3768.1869506835938,0.27874073,1
5652.430648803711,484.3271732330322,0.27047542,1
4686.109535217285,1851.4079570770264,0.2611261,1
