x1,y1,x2,y2,confidence,resolution,tile_id
259.15726,497.82605,333.5527,567.20374,0.36932504,1.0,0
0.00557518,412.10645,31.422962,480.8368,0.27667284,1.0,0
0.08129883,219.98154,97.286255,417.9174,0.23889406,1.0,0
178.15897,327.74243,354.76205,500.3263,0.21008158,1.0,0
1143.6786,393.06238,1228.1498,471.57507,0.35987383,1.0,1
1071.8774,471.2588,1247.0063,638.9746,0.28808355,1.0,1
1203.527,233.4126,1247.9415,332.3501,0.2437924,1.0,1
1216.0807,222.46716,1355.1249,393.16797,0.67687863,1.0,2
1380.4563,309.1791,1476.2131,402.2408,0.6680731,1.0,2
1216.9775,498.55927,1326.5215,592.1788,0.2774586,1.0,2
1621.511,570.4724,1732.5886,639.7516,0.24811953,1.0,2
1272.2389,429.82587,1365.4034,513.7905,0.23882441,1.0,2
2144.3245,457.80212,2276.91,594.1997,0.35967427,1.0,3
2173.8105,364.51355,2263.4937,453.33337,0.3239391,1.0,3
2252.1143,389.25156,2332.7842,465.22202,0.31538934,1.0,3
2215.7712,501.8908,2290.3108,579.20514,0.29486904,1.0,3
2142.3315,493.9391,2230.5776,582.7439,0.2536497,1.0,3
1854.7649,502.89435,1943.9368,606.8598,0.20333007,1.0,3
2521.816,256.5551,2627.0884,355.53607,0.5895163,1.0,4
2684.0066,400.3114,2756.464,475.11462,0.5321934,1.0,4
2981.947,522.4144,3071.8557,639.598,0.41685325,1.0,4
3029.418,431.26794,3071.9097,534.9199,0.37336534,1.0,4
2635.1897,249.43103,2719.134,337.28735,0.2412625,1.0,4
2944.714,462.57086,3037.7366,545.26917,0.2159284,1.0,4
2635.781,234.94406,2873.2346,433.3475,0.20851885,1.0,4
2840.4568,373.46265,2896.2717,421.79285,0.20392409,1.0,4
3315.6604,560.6229,3400.4563,639.91956,0.7101956,1.0,5
3579.1602,293.95178,3680.0,425.4192,0.6076383,1.0,5
3154.8574,373.21942,3217.8535,437.12238,0.5559845,1.0,5
3092.8362,478.64697,3175.1091,549.6422,0.46533236,1.0,5
3087.581,255.61877,3192.1567,382.00647,0.35225713,1.0,5
3040.1514,421.2307,3121.517,529.06256,0.27824628,1.0,5
3168.6448,416.09888,3367.7678,595.1837,0.26004732,1.0,5
3543.7698,557.058,3621.8113,638.38464,0.24230671,1.0,5
3159.4766,435.37866,3251.9238,528.04333,0.21040852,1.0,5
3256.2598,554.1387,3310.105,614.10693,0.20671912,1.0,5
3812.1892,589.2067,3896.0735,639.7509,0.4327384,1.0,6
4229.784,0.0066375732,4288.0,70.81838,0.3123273,1.0,6
4256.0,0.0,4329.9316,62.771885,0.6222029,1.0,7
4256.0547,300.38983,4339.174,414.8205,0.43412086,1.0,7
4961.0625,488.5664,5114.0547,636.92773,0.31718954,1.0,8
5081.6577,593.61755,5178.4663,639.7987,0.22135133,1.0,8
0.974823,1121.5073,98.49487,1213.9277,0.5354498,1.0,10
191.75848,608.07263,280.39557,649.9121,0.30866906,1.0,10
